timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1774414839795,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,42689,0
1774414840786,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,42452,0
1774414842782,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,41722,0
1774414841784,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,43666,0
1774414843783,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,42885,0
1774414844782,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,42664,0
1774414845782,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,41664,0
1774414846781,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,41843,0
1774414848779,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,40798,0
1774414847780,0,Enter URl,200,"Number of samples in transaction : 1, number of failing samples : 0",,,true,,0,0,0,0,null,0,42028,0
1774414883238,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,122335,0
1774414884504,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,121226,0
1774414882484,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,123315,0
1774414885450,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,120610,0
1774414888624,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,120120,0
1774414887446,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,121754,0
1774414886668,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,123108,0
1774414887446,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,122391,0
1774414889808,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,120251,0
1774414889577,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,123575,0
1774415006061,0,"Enter Location, In&OutDate , & Headcount",200,"Number of samples in transaction : 3, number of failing samples : 0",,,true,,0,0,0,0,null,0,110739,0
